"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Analise_Trocas.php", "PHP", 100, 0, 0, 4, 104
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_Equipe.php", "PHP", 87, 0, 0, 5, 92
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_Escala.php", "PHP", 0, 0, 0, 1, 1
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_TipoEscala.php", "PHP", 23, 0, 0, 4, 27
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_Troca.php", "PHP", 106, 0, 0, 4, 110
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_Turnos.php", "PHP", 56, 0, 0, 0, 56
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Criacao_TurnosFunc.php", "PHP", 92, 0, 0, 8, 100
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_Equipe.php", "PHP", 82, 0, 0, 18, 100
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_SelecionarTurnos.php", "PHP", 53, 0, 0, 1, 54
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_SelecionarUsuario.php", "PHP", 64, 0, 1, 7, 72
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_Usuario.php", "PHP", 103, 0, 0, 9, 112
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Edicao_turno.php", "PHP", 79, 0, 0, 3, 82
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Equipe.php", "PHP", 118, 0, 0, 14, 132
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Equipes.php", "PHP", 35, 0, 0, 4, 39
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Escala.php", "PHP", 309, 0, 0, 16, 325
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\RegistroUsuario.php", "PHP", 59, 0, 0, 9, 68
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\Trocas_Recebidas.php", "PHP", 91, 0, 2, 3, 96
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style.css", "CSS", 0, 12, 0, 0, 12
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style_CriacaoTroca.css", "CSS", 0, 57, 0, 1, 58
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style_Form.css", "CSS", 0, 24, 0, 0, 24
"c:\xampp\htdocs\Eduardo_Leandro_GerenciamentoEscalasPF\css\style_TrocasRecebidas.css", "CSS", 0, 64, 0, 3, 67
